match_type,date,team1,team2,venue,city,toss_winner,toss_decision,match_winner,result,win_by_runs,win_by_wickets
odi,2022-08-20,Zimbabwe,India,Harare Sports Club,Harare,India,field,India,,0,5
odi,2022-08-22,India,Zimbabwe,Harare Sports Club,Harare,India,bat,India,,13,0
odi,2022-10-06,South Africa,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,field,South Africa,,9,0
odi,2022-10-09,South Africa,India,"JSCA International Stadium Complex, Ranchi",Ranchi,South Africa,bat,India,,0,7
odi,2022-10-11,South Africa,India,"Arun Jaitley Stadium, Delhi",Delhi,India,field,India,,0,7
odi,2022-08-22,Netherlands,Ireland,"VRA Ground, Amstelveen",Amstelveen,Ireland,field,Ireland,,0,5
odi,2022-08-24,Ireland,Netherlands,"VRA Ground, Amstelveen",Amstelveen,Netherlands,field,Ireland,,210,0
odi,2022-08-26,Netherlands,Ireland,"Sportpark Westvliet, The Hague",The Hague,Netherlands,bat,Ireland,,0,8
odi,2022-09-11,United States of America,Papua New Guinea,"Amini Park, Port Moresby",Port Moresby,Papua New Guinea,field,,tie,0,0
odi,2022-09-13,Papua New Guinea,United States of America,"Amini Park, Port Moresby",Port Moresby,United States of America,field,Papua New Guinea,,26,0
odi,2022-09-15,Namibia,United States of America,"Amini Park, Port Moresby",Port Moresby,Namibia,bat,Namibia,,79,0
odi,2022-09-17,Namibia,United States of America,"Amini Park, Port Moresby",Port Moresby,United States of America,field,Namibia,,68,0
odi,2022-09-20,Namibia,Papua New Guinea,"Amini Park, Port Moresby",Port Moresby,Namibia,bat,Namibia,,167,0
odi,2022-09-21,Namibia,Papua New Guinea,"Amini Park, Port Moresby",Port Moresby,Namibia,bat,Namibia,,61,0
odi,2022-09-19,West Indies,New Zealand,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,New Zealand,field,New Zealand,,5,0
odi,2022-09-22,West Indies,New Zealand,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,West Indies,bat,New Zealand,,0,2
odi,2022-09-25,New Zealand,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,New Zealand,bat,West Indies,,0,4
odi,2023-09-08,England,New Zealand,"Sophia Gardens, Cardiff",Cardiff,New Zealand,field,New Zealand,,0,8
odi,2023-09-10,England,New Zealand,"The Rose Bowl, Southampton",Southampton,New Zealand,field,England,,79,0
odi,2023-09-13,England,New Zealand,"Kennington Oval, London",London,New Zealand,field,England,,181,0
odi,2023-09-15,England,New Zealand,"Lord's, London",London,England,bat,England,,100,0
odi,2023-07-12,Australia,England,"County Ground, Bristol",Bristol,Australia,bat,England,,0,2
odi,2023-07-16,Australia,England,"The Rose Bowl, Southampton",Southampton,England,field,Australia,,3,0
odi,2023-07-18,England,Australia,"The Cooper Associates County Ground, Taunton",Taunton,Australia,field,England,,69,0
odi,2023-09-09,Sri Lanka,England,"Riverside Ground, Chester-le-Street",Chester-le-Street,England,field,England,,0,7
odi,2023-09-12,Sri Lanka,England,"County Ground, Northampton",Northampton,England,field,,no result,0,0
odi,2023-09-14,England,Sri Lanka,"Grace Road, Leicester",Leicester,Sri Lanka,field,England,,161,0
odi,2023-09-23,England,Ireland,"Trent Bridge, Nottingham",Nottingham,Ireland,field,England,,48,0
odi,2023-09-26,England,Ireland,"County Ground, Bristol",Bristol,Ireland,field,,no result,0,0
odi,2023-01-27,South Africa,England,"Mangaung Oval, Bloemfontein",Bloemfontein,South Africa,bat,South Africa,,27,0
odi,2023-01-29,England,South Africa,"Mangaung Oval, Bloemfontein",Bloemfontein,South Africa,field,South Africa,,0,5
odi,2023-02-01,England,South Africa,"Diamond Oval, Kimberley",Kimberley,South Africa,field,England,,59,0
odi,2023-03-18,West Indies,South Africa,"Buffalo Park, East London",East London,West Indies,bat,West Indies,,48,0
odi,2023-03-21,West Indies,South Africa,"Senwes Park, Potchefstroom",Potchefstroom,South Africa,field,South Africa,,0,4
odi,2023-03-31,Netherlands,South Africa,"Willowmoore Park, Benoni",Benoni,South Africa,field,South Africa,,0,8
odi,2023-04-02,South Africa,Netherlands,"The Wanderers Stadium, Johannesburg",Johannesburg,Netherlands,field,South Africa,,146,0
odi,2023-01-09,New Zealand,Pakistan,"National Stadium, Karachi",Karachi,Pakistan,field,Pakistan,,0,6
odi,2023-01-11,New Zealand,Pakistan,"National Stadium, Karachi",Karachi,New Zealand,bat,New Zealand,,79,0
odi,2023-01-13,Pakistan,New Zealand,"National Stadium, Karachi",Karachi,Pakistan,bat,New Zealand,,0,2
odi,2023-04-27,New Zealand,Pakistan,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,field,Pakistan,,0,5
odi,2023-04-29,New Zealand,Pakistan,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,field,Pakistan,,0,7
odi,2023-05-03,Pakistan,New Zealand,"National Stadium, Karachi",Karachi,New Zealand,field,Pakistan,,26,0
odi,2023-05-05,Pakistan,New Zealand,"National Stadium, Karachi",Karachi,New Zealand,field,Pakistan,,102,0
odi,2023-05-07,New Zealand,Pakistan,"National Stadium, Karachi",Karachi,New Zealand,bat,New Zealand,,47,0
odi,2022-12-04,India,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,Bangladesh,,0,1
odi,2022-12-07,Bangladesh,India,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Bangladesh,,5,0
odi,2022-12-10,India,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,field,India,,227,0
odi,2022-11-19,Papua New Guinea,Namibia,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,field,Namibia,,0,8
odi,2022-11-20,United States of America,Namibia,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,field,United States of America,,71,0
odi,2022-11-22,Papua New Guinea,United States of America,"Wanderers Cricket Ground, Windhoek",Windhoek,United States of America,field,United States of America,,0,6
odi,2022-11-23,Papua New Guinea,Namibia,"Wanderers Cricket Ground, Windhoek",Windhoek,Papua New Guinea,bat,Namibia,,0,3
odi,2022-11-25,United States of America,Papua New Guinea,"Wanderers Cricket Ground, Windhoek",Windhoek,United States of America,bat,United States of America,,35,0
odi,2022-11-26,United States of America,Namibia,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,field,Namibia,,0,6
