match_type,date,team1,team2,venue,city,toss_winner,toss_decision,match_winner,result,win_by_runs,win_by_wickets
t20,2021-08-27,Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Harare,Zimbabwe,field,Zimbabwe,,0,1
t20,2021-08-28,Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Harare,Thailand,bat,Thailand,,53,0
t20,2021-08-30,Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Harare,Thailand,bat,Thailand,,27,0
t20,2021-08-14,Denmark,Sweden,"Svanholm Park, Brondby",Brondby,Sweden,field,Sweden,,0,3
t20,2021-08-15,Sweden,Denmark,"Svanholm Park, Brondby",Brondby,Denmark,field,Denmark,,0,6
t20,2021-08-20,Gibraltar,Malta,Gucherre Cricket Ground,Albergaria,Malta,field,Malta,,0,8
t20,2021-08-21,Malta,Gibraltar,Gucherre Cricket Ground,Albergaria,Gibraltar,field,Malta,,4,0
t20,2021-08-22,Portugal,Gibraltar,Gucherre Cricket Ground,Albergaria,Gibraltar,field,Portugal,,110,0
t20,2021-08-18,Ghana,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,bat,Rwanda,,0,1
t20,2021-08-20,Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,field,Rwanda,,57,0
t20,2021-08-20,Ghana,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,bat,Ghana,,0,0
t20,2021-08-21,Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,bat,Ghana,,0,7
t20,2021-08-21,Sweden,Finland,Kerava National Cricket Ground,Kerava,Sweden,bat,Finland,,0,4
t20,2021-08-21,Sweden,Finland,Kerava National Cricket Ground,Kerava,Sweden,bat,Finland,,0,4
t20,2021-08-22,Finland,Sweden,Kerava National Cricket Ground,Kerava,Sweden,field,Sweden,,0,3
t20,2021-08-22,Finland,Sweden,Kerava National Cricket Ground,Kerava,Sweden,field,Sweden,,0,6
